r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMINDHEEL,INDHEL,2054,607.1048
RE1,DEMINDHEEL,INDHEL,2055,611.5873
RE1,DEMINDHEEL,INDHEL,2056,616.1039
RE1,DEMINDHEEL,INDHEL,2057,620.6549
RE1,DEMINDHEEL,INDHEL,2058,625.2405
RE1,DEMINDHEEL,INDHEL,2059,629.8611
RE1,DEMINDHEEL,INDHEL,2060,634.5168
RE1,DEMINDHEEL,INDHEL,2061,639.2079
RE1,DEMINDHEEL,INDHEL,2062,643.9348
RE1,DEMINDHEEL,INDHEL,2063,648.6976
RE1,DEMINDHEEL,INDHEL,2064,653.4968
RE1,DEMINDHEEL,INDHEL,2065,658.3325
RE1,DEMINDHEEL,INDHEL,2066,663.205
RE1,DEMINDHEEL,INDHEL,2067,668.1146
RE1,DEMINDHEEL,INDHEL,2068,673.0617
RE1,DEMINDHEEL,INDHEL,2069,678.0464
RE1,DEMINDHEEL,INDHEL,2070,683.0692
RE1,DEMRESCKNBIO,RESCKN,2015,72.8133
RE1,DEMRESCKNBIO,RESCKN,2016,69.2189
RE1,DEMRESCKNBIO,RESCKN,2017,70.2381
RE1,DEMRESCKNBIO,RESCKN,2018,72.7562
RE1,DEMRESCKNBIO,RESCKN,2019,74.5778
RE1,DEMRESCKNBIO,RESCKN,2020,76.3949
RE1,DEMRESCKNBIO,RESCKN,2021,77.7461
RE1,DEMRESCKNBIO,RESCKN,2022,79.0942
RE1,DEMRESCKNBIO,RESCKN,2023,80.4393
RE1,DEMRESCKNBIO,RESCKN,2024,81.7816
RE1,DEMRESCKNBIO,RESCKN,2025,58.9218
RE1,DEMRESCKNBIO,RESCKN,2026,46.8217
RE1,DEMRESCKNBIO,RESCKN,2027,34.3927
RE1,DEMRESCKNBIO,RESCKN,2028,21.6357
RE1,DEMRESCKNBIO,RESCKN,2030,5.5571
RE1,DEMRESCKNBIO,RESCKN,2031,8.1176
RE1,DEMRESCKNBIO,RESCKN,2070,0.0
RE1,DEMRESCKNELC,RESCKN,2015,7.0099
RE1,DEMRESCKNELC,RESCKN,2016,6.6639
RE1,DEMRESCKNELC,RESCKN,2017,6.762
RE1,DEMRESCKNELC,RESCKN,2018,7.0044
RE1,DEMRESCKNELC,RESCKN,2019,6.6542
RE1,DEMRESCKNELC,RESCKN,2020,6.304
RE1,DEMRESCKNELC,RESCKN,2021,5.9538
RE1,DEMRESCKNELC,RESCKN,2022,5.6035
RE1,DEMRESCKNELC,RESCKN,2023,5.2533
RE1,DEMRESCKNELC,RESCKN,2024,4.9031
RE1,DEMRESCKNELC,RESCKN,2025,166.3391
RE1,DEMRESCKNELC,RESCKN,2026,182.4178
RE1,DEMRESCKNELC,RESCKN,2027,198.8174
RE1,DEMRESCKNELC,RESCKN,2028,215.5375
RE1,DEMRESCKNELC,RESCKN,2029,241.1293
RE1,DEMRESCKNELC,RESCKN,2030,239.5214
RE1,DEMRESCKNELC,RESCKN,2031,240.5778
RE1,DEMRESCKNELC,RESCKN,2032,252.3013
RE1,DEMRESCKNELC,RESCKN,2033,255.8969
RE1,DEMRESCKNELC,RESCKN,2034,259.4827
RE1,DEMRESCKNELC,RESCKN,2035,263.0593
RE1,DEMRESCKNELC,RESCKN,2036,266.1718
RE1,DEMRESCKNELC,RESCKN,2037,269.2791
RE1,DEMRESCKNELC,RESCKN,2038,272.3814
RE1,DEMRESCKNELC,RESCKN,2039,275.4788
RE1,DEMRESCKNELC,RESCKN,2040,278.5714
RE1,DEMRESCKNELC,RESCKN,2041,281.6592
RE1,DEMRESCKNELC,RESCKN,2042,284.7435
RE1,DEMRESCKNELC,RESCKN,2043,287.8245
RE1,DEMRESCKNELC,RESCKN,2044,290.9023
RE1,DEMRESCKNELC,RESCKN,2045,293.977
RE1,DEMRESCKNELC,RESCKN,2046,296.3069
RE1,DEMRESCKNELC,RESCKN,2047,298.6355
RE1,DEMRESCKNELC,RESCKN,2048,300.9627
RE1,DEMRESCKNELC,RESCKN,2049,303.2885
RE1,DEMRESCKNELC,RESCKN,2050,305.6131
RE1,DEMRESCKNELC,RESCKN,2051,307.9951
RE1,DEMRESCKNELC,RESCKN,2052,310.3956
RE1,DEMRESCKNELC,RESCKN,2053,312.8148
RE1,DEMRESCKNELC,RESCKN,2054,315.2528
