r,t,y,AnnualFixedOperatingCost
RE1,PWRSOL001,2019,51.8928
RE1,PWRSOL001,2020,46.573
RE1,PWRSOL001,2021,45.0413
RE1,PWRSOL001,2022,42.3095
RE1,PWRSOL001,2023,39.5776
RE1,PWRSOL001,2024,36.8457
RE1,PWRSOL001,2025,1042.2243
RE1,PWRSOL001,2026,1128.3174
RE1,PWRSOL001,2027,1214.4501
RE1,PWRSOL001,2028,1379.833
RE1,PWRSOL001,2029,1606.7347
RE1,PWRSOL001,2030,1913.8816
RE1,PWRSOL001,2031,2118.8245
RE1,PWRSOL001,2032,2076.8772
RE1,PWRSOL001,2033,2135.8652
RE1,PWRSOL001,2034,2126.9171
RE1,PWRSOL001,2035,2069.3512
RE1,PWRSOL001,2036,2020.3176
RE1,PWRSOL001,2037,1978.4793
RE1,PWRSOL001,2038,2001.9424
RE1,PWRSOL001,2039,2271.9856
RE1,PWRSOL001,2040,2527.6236
RE1,PWRSOL001,2041,2790.0115
