r,l,t,f,y,ProductionByTechnology
RE1,S114,PWRWND001,ELC001,2020,0.0111
RE1,S114,PWRTRNIMP,ELC001,2020,0.9345
RE1,S114,PWRTRN,ELC002,2020,8.5441
RE1,S114,PWRDIST,ELC003,2020,8.5441
RE1,S114,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S114,DEMTRACARGSL,TRACAR,2020,5.2109
RE1,S114,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S114,DEMINDELC,INDELC,2020,4.2057
RE1,S114,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S114,DEMRESELC,RESELC,2020,2.0995
RE1,S114,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S114,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S114,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S114,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S114,DEMCOMELC,COMELC,2020,2.1699
RE1,S114,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S114,DEMINDHECOA,INDHEH,2020,6.5344
RE1,S115,MINOIL,OIL,2020,22.3089
RE1,S115,MINBIO,BIO,2020,11.5768
RE1,S115,MINCOA,COA,2020,16.0296
RE1,S115,IMPLFO,LFO,2020,45.5091
RE1,S115,UPSREF001,LFO,2020,20.078
RE1,S115,UPSREF001,HFO,2020,2.2309
RE1,S115,MINNGS,NGS,2020,8.6339
RE1,S115,MINSOL,SOL,2020,0.2003
RE1,S115,MINWND,WND,2020,0.0111
RE1,S115,MINHYD,HYD,2020,0.0818
RE1,S115,PWRBIO001,ELC001,2020,0.7386
RE1,S115,PWRCOA001,ELC001,2020,2.3911
RE1,S115,PWRNGS001,ELC001,2020,4.7701
RE1,S115,PWRSOL001,ELC001,2020,0.1998
RE1,S115,PWRCSP002,ELC001,2020,0.0005
RE1,S115,PWRHYD001,ELC001,2020,0.0786
RE1,S115,PWRHYD002,ELC001,2020,0.0032
RE1,S115,PWRWND001,ELC001,2020,0.0111
RE1,S115,PWRTRNIMP,ELC001,2020,0.9345
RE1,S115,PWRTRN,ELC002,2020,8.5441
RE1,S115,PWRDIST,ELC003,2020,8.5441
RE1,S115,DEMTRAMCYGSL,TRAMCY,2020,2.7212
RE1,S115,DEMTRACARGSL,TRACAR,2020,5.2109
RE1,S115,DEMTRABUSGSL,TRABUS,2020,5.3835
RE1,S115,DEMINDELC,INDELC,2020,4.2057
RE1,S115,DEMINDHEBIO,INDHEL,2020,4.4439
RE1,S115,DEMRESELC,RESELC,2020,2.0995
RE1,S115,DEMRESCKNELC,RESCKN,2020,0.0657
RE1,S115,DEMRESCKNOIL,RESCKN,2020,2.1962
RE1,S115,DEMRESCKNBIO,RESCKN,2020,0.7637
RE1,S115,DEMRESHEBIO,RESHEL,2020,0.9243
RE1,S115,DEMCOMELC,COMELC,2020,2.1699
RE1,S115,DEMCOMHEBIO,COMHEL,2020,0.4466
RE1,S115,DEMINDHECOA,INDHEH,2020,6.5344
